Airline,Status,Los Angeles,Phoenix,San Diego,San Francisco,Seattle
Alaska,On_Time,497,221,212,503,1841
Alaska,Delayed,62,12,20,102,305
AMWest,On_Time,694,4840,383,320,201
AMWest,Delayed,117,415,65,129,61
